"","App","Category","Rating","Reviews","Size","Installs","Price","Content.Rating","Android.Ver","Everyone","Mature_17+","Teen","success"
"9829","Ã‰galitÃ© et RÃ©conciliation","NEWS_AND_MAGAZINES",4.9,4593,3.8,500,2.99,"Everyone",5,1,0,0,"No"
"9830","Economic Times : Market News Go Edition","NEWS_AND_MAGAZINES",4.3,3536,4.2,5000,0,"Everyone",4.1,1,0,0,"No"
"9831","Hymnes et Louanges","BOOKS_AND_REFERENCE",4.4,1593,5.7,1e+05,0,"Everyone",4.1,1,0,0,"No"
"9832","Lire avec Sami et Julie","FAMILY",3.6,4551,18,1e+05,0,"Everyone",2.2,1,0,0,"No"
"9833","Lettre et demande d'emploi","FAMILY",4.6,2871,9.9,1e+05,0,"Everyone",4,1,0,0,"No"
"9836","Blagues et Histoires DrÃ´les","FAMILY",3.9,5640,5.3,1e+05,0,"Teen",4.1,0,0,1,"No"
"9837","Lettre de motivation et CV","FAMILY",4.3,5946,9.9,1e+05,0,"Everyone",4,1,0,0,"No"
"9838","Anime et Manga Amino en FranÃ§ais","SOCIAL",4.8,3462,63,50000,0,"Teen",4.03,0,0,1,"No"
"9845","Google News","NEWS_AND_MAGAZINES",3.9,5693,13,1e+09,0,"Teen",4.4,0,0,1,"Yes"
"9847","Beauty and the Beast","FAMILY",4.4,5137,31,1e+06,0,"Everyone",4.2,1,0,0,"Yes"
"9850","iTranslate Translator & Dictionary","PRODUCTIVITY",4.3,1767,35,1e+07,0,"Everyone",4.1,1,0,0,"Yes"
"9851","Oggy","GAME",4.5,4206,61,5e+06,0,"Everyone",4.03,1,0,0,"Yes"
"9854","Amino: Communities and Chats","SOCIAL",4.8,592,62,1e+07,0,"Teen",4.03,0,0,1,"Yes"
"9855","Nike Training Club - Workouts & Fitness Plans","HEALTH_AND_FITNESS",4.6,2364,93,1e+07,0,"Everyone",5,1,0,0,"Yes"
"9856","Pocket Mortys","FAMILY",4.5,1414,93,1e+07,0,"Everyone",4.1,1,0,0,"Yes"
"9857","Hangouts Dialer - Call Phones","COMMUNICATION",4,520,79,1e+07,0,"Everyone",4.03,1,0,0,"Yes"
"9858","Ideal Weight, BMI Calculator","HEALTH_AND_FITNESS",4.2,314,5,5e+06,0,"Everyone",4.1,1,0,0,"Yes"
"9860","Offline Maps & Navigation","TRAVEL_AND_LOCAL",4.7,1680,33,5e+06,0,"Everyone",4.03,1,0,0,"Yes"
"9861","Voice changer with effects","FAMILY",4.2,583,8.7,5e+07,0,"Everyone",4.1,1,0,0,"Yes"
"9862","Fitness & Bodybuilding","HEALTH_AND_FITNESS",4.6,5883,61,5e+06,0,"Everyone",4.1,1,0,0,"Yes"
"9864","EU Mobile Money","FINANCE",3.9,3988,6.1,1e+05,0,"Everyone",4,1,0,0,"No"
"9865","European Union Simulator","FAMILY",3.6,5047,26,50000,0,"Everyone",4.03,1,0,0,"No"
"9866","EU Charter","BOOKS_AND_REFERENCE",4.6,3102,37,1000,0,"Everyone",4,1,0,0,"No"
"9868","EU Flags Free Live Wallpaper","PERSONALIZATION",3.4,5204,2.3,1e+05,0,"Everyone",2.1,1,0,0,"No"
"9869","myLPG.eu","TRAVEL_AND_LOCAL",4.2,4487,4.4,50000,0,"Everyone",4,1,0,0,"No"
